ab-rogar,abolish,remove-10.1,2354201,EQ_NEAR_SYNONYM,0,0,0,0,0
ab-rogar,annul,void-106,2403814,EQ_NEAR_SYNONYM,0,0,0,0,0
abafar,cover,fill-9.8,47079,EQ_SYNONYM,1,1,1,194,1
abafar,block,forbid-67,2481538,EQ_NEAR_SYNONYM,0,0,0,0,0
abaixar,relieve,amuse-31.1,1762368,EQ_NEAR_SYNONYM,1,1,1,282,1
abaixar,squat,assuming_position-50,1502542,EQ_SYNONYM,1,1,1,282,1
abaixar,drop,calibratable_cos-45.6,420315,EQ_SYNONYM,1,1,1,282,1
abaixar,relieve,cheat-10.6,1762368,EQ_NEAR_SYNONYM,1,1,1,282,1
abaixar,reduce,limit-76,416885,EQ_NEAR_SYNONYM,0,0,0,0,0
abaixar,ease,other_cos-45.4,1762368,EQ_NEAR_SYNONYM,1,1,1,282,1
abaixar,lower,put_direction-9.4,1915250,EQ_NEAR_SYNONYM,1,1,1,282,1
abaixar,crouch,spatial_configuration-47.6,1502542,EQ_SYNONYM,1,1,1,282,1
abaixar,trim,wipe_manner-10.4.1,416885,EQ_NEAR_SYNONYM,1,1,1,282,1
abaixar-se,disgrace,amuse-31.1,1748142,EQ_NEAR_SYNONYM,0,0,0,0,0
abaixar-se,level,other_cos-45.4,345421,EQ_SYNONYM,0,0,0,0,0
abalançar,encourage,approve-77,2479351,EQ_SYNONYM,0,0,0,0,0
abalançar,rock,body_internal_motion-49,1821183,EQ_SYNONYM,0,0,0,0,0
abalançar,rock,modes_of_being_with_motion-47.3,1821183,EQ_SYNONYM,0,0,0,0,0
abalançar,promote,promote-102,2479351,EQ_SYNONYM,0,0,0,0,0
abalar,affect,amuse-31.1,1716999,EQ_NEAR_SYNONYM,1,1,1,618,1
abalar,exit,escape-51.1,1957725,EQ_NEAR_SYNONYM,1,1,1,618,1
abalar,leave,leave-51.2,1957725,EQ_NEAR_SYNONYM,1,1,1,618,1
abalar,weaken,other_cos-45.4,216002,EQ_NEAR_SYNONYM,1,1,1,618,1
abalar,charge,run-51.3.2,1086709,EQ_SYNONYM,1,1,1,618,1
abalar-se,dispose,addict-96,658076,EQ_SYNONYM,0,0,0,0,0
abalar-se,affect,amuse-31.1,1716999,EQ_NEAR_SYNONYM,0,0,0,0,0
abalar-se,exit,escape-51.1,1957725,EQ_NEAR_SYNONYM,0,0,0,0,0
abalar-se,leave,leave-51.2,1957725,EQ_NEAR_SYNONYM,0,0,0,0,0
abalroar,hit,bump-18.4,1198410,EQ_NEAR_SYNONYM,0,0,0,0,0
abalroar,hit,hit-18.1,1198410,EQ_NEAR_SYNONYM,0,0,0,0,0
abalroar-se,clash,bump-18.4,1518049,EQ_NEAR_SYNONYM,0,0,0,0,0
abanar,refresh,amuse-31.1,158451,EQ_NEAR_SYNONYM,1,1,1,112,1
