78070,ir
41303,ser
27778,ter
14950,assumir
12229,tornar
11172,passar
9984,fazer
9356,participar
9336,deixar
8710,exercer
7969,eleger
7957,realizar
6968,integrar
6892,haver
6677,promover
6660,nascer
6588,permanecer
6522,nomear
6441,obter
6425,estar
6417,votar
6342,ocupar
6312,iniciar
5992,criar
5438,filiar
5387,seguir
5375,apoiar
5111,dar
4985,casar
4958,formar
4869,apresentar
4770,defender
4695,voltar
4626,ingressar
4569,chegar
4479,substituir
4423,vir
4367,tomar
4313,aprovar
4253,receber
4223,publicar
4125,manter
3961,considerar
3861,transferir
3718,poder
3693,ficar
3674,lançar
3594,disputar
3571,concorrer
3571,candidatar
3471,conseguir
3453,falecer
3418,pelar
3408,afirmar
3377,acusar
3374,declarar
3332,dever
3274,concluir
3202,levar
3066,presidir
3038,derrotar
3001,reunir
2965,empossar
2881,retornar
2834,chamar
2789,afastar
2772,propor
2699,trabalhar
2613,decidir
2598,liderar
2582,ocorrer
2479,acabar
2464,fundar
2456,representar
2429,estabelecer
2416,organizar
2407,encontrar
2390,começar
2379,designar
2371,servir
2346,indicar
2310,ligar
2273,permitir
2255,prever
2236,conhecer
2218,tentar
2104,constituir
2067,contar
2058,dirigir
2021,continuar
2006,renunciar
1980,dedicar
1970,escolher
1929,procurar
1929,manifestar
1915,marcar
1896,instalar
1882,reeleger
1872,envolver
1848,visar
1823,chefiar
1822,provocar
1816,pedir
1809,destacar
1785,destinar
1769,armar
1759,assinar
1733,aceitar
1715,determinar
1708,garantir
1687,enviar
1634,comandar
1545,compor
1541,incluir
1541,impor
1540,definir
1535,impedir
1531,anunciar
1525,colocar
1518,sediar
1486,elaborar
1478,entrar
1467,cursar
1463,ver
1456,atingir
1453,dizer
1414,conceder
1411,atuou
1408,instituir
1407,depor
1398,criticar
1390,desenvolver
1387,instaurar
1386,sair
1385,bacharelar
1384,estudar
1363,denunciar
1350,acompanhar
1295,extinguir
1283,encerrar
1280,caráter
1271,resultar
1210,escrever
1194,investigar
1192,sofrer
1186,anistia
1179,divulgar
1171,transformar
1170,pretender
1168,vincular
1133,encaminhar
1121,pronunciar
1118,combater
1118,alcançar
1113,ameaçar
1096,opor
1083,caber
1080,tratar
1078,surgir
1072,retirar
1050,enfrentar
1033,convocar
1031,perder
