02966972-a	http://wnpt.brlcloud.com/wn/synset?id=02966972-a	Argentine	adj.pert	Nation@	08711974-n	http://wnpt.brlcloud.com/wn/synset?id=08711974-n	Argentina	noun.location	Argentina=
02966972-a	http://wnpt.brlcloud.com/wn/synset?id=02966972-a	Argentinian	adj.pert	Nation@	08711974-n	http://wnpt.brlcloud.com/wn/synset?id=08711974-n	Argentina	noun.location	Argentina=
03017788-a	http://wnpt.brlcloud.com/wn/synset?id=03017788-a	Argive	adj.pert	City@	08786660-n	http://wnpt.brlcloud.com/wn/synset?id=08786660-n	Argos	noun.location	City@
02625648-a	http://wnpt.brlcloud.com/wn/synset?id=02625648-a	Armenian	adj.pert	nil	09017526-n	http://wnpt.brlcloud.com/wn/synset?id=09017526-n	Armenia	noun.location	Armenia=
02977465-a	http://wnpt.brlcloud.com/wn/synset?id=02977465-a	Assamese	adj.pert	StateOrProvince@	08902097-n	http://wnpt.brlcloud.com/wn/synset?id=08902097-n	Assam	noun.location	StateOrProvince@
02972499-a	http://wnpt.brlcloud.com/wn/synset?id=02972499-a	Athenian	adj.pert	City@	08785343-n	http://wnpt.brlcloud.com/wn/synset?id=08785343-n	Athens	noun.location	City@
03017286-a	http://wnpt.brlcloud.com/wn/synset?id=03017286-a	Attic	adj.pert	City@	08786283-n	http://wnpt.brlcloud.com/wn/synset?id=08786283-n	Attica	noun.location	LandArea@
02650425-a	http://wnpt.brlcloud.com/wn/synset?id=02650425-a	Australasian	adj.pert	GeographicArea@	08836165-n	http://wnpt.brlcloud.com/wn/synset?id=08836165-n	Australasia	noun.location	LandArea@
02961099-a	http://wnpt.brlcloud.com/wn/synset?id=02961099-a	Austrian	adj.pert	Nation@	08845555-n	http://wnpt.brlcloud.com/wn/synset?id=08845555-n	Austria	noun.location	Austria=
02977638-a	http://wnpt.brlcloud.com/wn/synset?id=02977638-a	Austronesian	adj.pert	Island+	08836329-n	http://wnpt.brlcloud.com/wn/synset?id=08836329-n	Austronesia	noun.location	LandArea@
02655560-a	http://wnpt.brlcloud.com/wn/synset?id=02655560-a	Azerbaijani	adj.pert	nil	09018162-n	http://wnpt.brlcloud.com/wn/synset?id=09018162-n	Azerbaijan	noun.location	Azerbaijan=
02656539-a	http://wnpt.brlcloud.com/wn/synset?id=02656539-a	Babylonian	adj.pert	nil	08916832-n	http://wnpt.brlcloud.com/wn/synset?id=08916832-n	Babylon	noun.location	City@
03045992-a	http://wnpt.brlcloud.com/wn/synset?id=03045992-a	Bahamian	adj.pert	Nation@	08847268-n	http://wnpt.brlcloud.com/wn/synset?id=08847268-n	Bahamas	noun.location	Island@
03046184-a	http://wnpt.brlcloud.com/wn/synset?id=03046184-a	Bahraini	adj.pert	Nation@	08848421-n	http://wnpt.brlcloud.com/wn/synset?id=08848421-n	Bahrain	noun.location	Island@
02962659-a	http://wnpt.brlcloud.com/wn/synset?id=02962659-a	Baltic	adj.pert	GeopoliticalArea@	09012101-n	http://wnpt.brlcloud.com/wn/synset?id=09012101-n	Baltic_State	noun.location	Nation+
03046349-a	http://wnpt.brlcloud.com/wn/synset?id=03046349-a	Bangladeshi	adj.pert	Nation@	08848731-n	http://wnpt.brlcloud.com/wn/synset?id=08848731-n	Bangladesh	noun.location	Bangladesh=
03047188-a	http://wnpt.brlcloud.com/wn/synset?id=03047188-a	Barbadian	adj.pert	Nation@	08755214-n	http://wnpt.brlcloud.com/wn/synset?id=08755214-n	Barbados	noun.location	LandArea@
02969775-a	http://wnpt.brlcloud.com/wn/synset?id=02969775-a	Bavarian	adj.pert	StateOrProvince@	08771596-n	http://wnpt.brlcloud.com/wn/synset?id=08771596-n	Bavaria	noun.location	StateOrProvince@
02660940-a	http://wnpt.brlcloud.com/wn/synset?id=02660940-a	Belarusian	adj.pert	nil	09011151-n	http://wnpt.brlcloud.com/wn/synset?id=09011151-n	Belarus	noun.location	Belarus=
02960507-a	http://wnpt.brlcloud.com/wn/synset?id=02960507-a	Belgian	adj.pert	Nation@	08849753-n	http://wnpt.brlcloud.com/wn/synset?id=08849753-n	Belgium	noun.location	Belgium=
03047714-a	http://wnpt.brlcloud.com/wn/synset?id=03047714-a	Bengali	adj.pert	LandArea@	08710535-n	http://wnpt.brlcloud.com/wn/synset?id=08710535-n	Bengal	noun.location	LandArea@
03047898-a	http://wnpt.brlcloud.com/wn/synset?id=03047898-a	Beninese	adj.pert	Nation@	08759420-n	http://wnpt.brlcloud.com/wn/synset?id=08759420-n	Benin	noun.location	Benin=
03048046-a	http://wnpt.brlcloud.com/wn/synset?id=03048046-a	Bermudan	adj.pert	Nation@	08710678-n	http://wnpt.brlcloud.com/wn/synset?id=08710678-n	Bermuda	noun.location	LandArea@
